CODIGO_MESA;CANDIDATURA;ID_PAIS;PAIS;ID_DEPARTAMENTO;DEPARTAMENTO;CIRCUNSCRIPCION_ESPECIAL;ID_PROVINCIA;PROVINCIA;SECCION;MUNICIPIO;ID_LOCALIDAD;LOCALIDAD;ID_RECINTO;RECINTO;NUMERO_MESA;INSCRITOS_HABILITADOS;CREEMOS;ADN;MAS_IPSP;FPV;PAN_BOL;LIBRE_21;CC;JUNTOS;APG;CPEM_B;CIDOB;BIA_YUQUI;CONAMAQ;OICH;ORCAWETA;YAMINAWA;VOTO_VALIDO;VOTO_BLANCO;VOTO_NULO;VOTO_EMITIDO;VOTO_VALIDO_SISTEMA;VOTO_EMITIDO_SISTEMA
27233;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;20;220;1;0;19;0;1;0;2;0;0;0;0;0;0;0;0;0;23;26;4;53;23;53
27234;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;21;80;0;0;14;0;0;0;1;0;0;0;0;0;0;0;0;0;15;8;1;24;15;24
27235;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;1;220;1;0;18;3;0;0;4;0;0;0;0;0;0;0;0;0;26;24;5;55;26;55
27236;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;2;220;0;0;35;2;0;0;4;0;0;0;0;0;0;0;0;0;41;16;4;61;41;61
27237;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;3;220;0;0;18;1;1;0;4;0;0;0;0;0;0;0;0;0;24;23;2;49;24;49
27238;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;4;220;0;0;23;2;0;0;6;0;0;0;0;0;0;0;0;0;31;20;4;55;31;55
27239;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;5;220;0;0;21;0;1;0;2;0;0;0;0;0;0;0;0;0;24;21;1;46;24;46
27240;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;25608;U.E. Fátima;6;181;0;0;15;2;1;0;4;0;0;0;0;0;0;0;0;0;22;22;1;45;22;45
27241;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;309;Inca                                    ;2536;U. E. Inca;1;220;1;0;90;2;1;0;1;0;0;0;0;0;0;0;0;0;95;93;3;191;95;191
27242;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;309;Inca                                    ;2536;U. E. Inca;2;93;0;0;43;0;0;0;1;0;0;0;0;0;0;0;0;0;44;41;1;86;44;86
27244;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;311;Santa Catalina                          ;2532;U. E. Santa Catalina;1;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27245;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;311;Santa Catalina                          ;2532;U. E. Santa Catalina;2;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27246;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;311;Santa Catalina                          ;2532;U. E. Santa Catalina;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27249;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;313;Puchahui                                ;2529;U. E. Puchahui;1;220;1;0;68;2;1;0;15;0;0;0;0;0;0;0;0;0;87;45;3;135;87;135
